CNPJ;Nome;Site;Perfil;Código
00184068000178;COOPERATIVA DE CREDITO UNICRED CENTRAL MULTIRREGIONAL LTDA - UCM;;SEGMENTO BALCÃO;02996.00-2
00185041000108;ITIQUIRA ENERGETICA S.A;;SEGMENTO BALCÃO;38504.40-6
00185475000108;PARCOM PARTICIPACOES S/A;;SEGMENTO BALCÃO;31359.40-7
00187032000148;KLABIN SEGALL S.A.;;SEGMENTO BALCÃO;04829.41-4
00192769000159;NEUMARKT TRADE AND FINANCIAL CENTER S/A;;SEGMENTO BALCÃO;32929.41-0
00194256000187;BB EXTRAMERCADO FAE FI RENDA FIXA;;SEGMENTO BALCÃO;18668.00-1
00204963000107;COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA;;SEGMENTO BALCÃO;27407.00-2
00211294000109;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO EUCALIPTO;;SEGMENTO BALCÃO;56498.00-6
00212471000163;ING GREEN TULIP FDO INVEST. EXTERIOR;;SEGMENTO BALCÃO;19178.00-2
00222816000160;SAFRA EXECUTIVE FICFI RENDA FIXA;;SEGMENTO BALCÃO;40508.00-5
00234398000120;LILLYPREV SOCIEDADE DE PREVIDENCIA PRIVADA;;SEGMENTO BALCÃO;01298.71-8
00242184000104;ARMAC LOCACAO LOGISTICA E SERVICOS S.A.;;SEGMENTO BALCÃO;40242.40-2
00253448000117;BANCO NEON S/A;;SEGMENTO BALCÃO;07350.00-7
00257427000170;SOCIEDADE FIDUCIARIA BRASILEIRA SERVICOS NEGOCIOS E PARTICIPACOES S.A.;;SEGMENTO BALCÃO;14770.40-5
00259231000114;COOPERATIVA SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CREDITO;;SEGMENTO BALCÃO;03648.00-5
00282862000154;AUTO RICCI S.A.;;SEGMENTO BALCÃO;18113.40-8
00299045000109;TEGENER PARTICIPACOES S/A;;SEGMENTO BALCÃO;34089.41-3
00306278000191;BRADESCO FIC DE FI RENDA FIXA REFERENCIADO DI;;SEGMENTO BALCÃO;09219.00-5
00309024000127;CENTRAL DAS CEC DO ESTADO DE MINAS GERAIS LTDA. SICOOB CENTRAL CECREMGE;;SEGMENTO BALCÃO;01136.00-7
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;CUSTODIANTE BALCÃO;81007
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;PARTICIPANTE DE BALCÃO;81007
00315557000111;CONF. NAC. COOP. CENTRAIS UNICRED LTDA-UNICRED BR;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;03144.00-4
00322699000106;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CREDITO PRIVADO LONGO PRAZO EXECUTIVO;;SEGMENTO BALCÃO;53498.00-9
00329598000167;INDIGO INVESTIMENTOS DTVM LTDA;;ESCRITURADOR;4030
00329598000167;INDIGO INVESTIMENTOS DTVM LTDA;;SEGMENTO BALCÃO;03266.00-9
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;ADMINISTRADOR DE CLUBES;74
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;CUSTODIANTE BALCÃO;74
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;PARTICIPANTE DE BALCÃO;74
00336036000140;COINVALORES CCVM LTDA;www.coinvalores.com.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;14482.00-9
